Id,Address_Country,OrderDate,Description
77,United States,2015-01-02T00:00:00,33
78,Germany,2015-01-02T00:00:00,34
79,Sweden,2015-01-02T00:00:00,36
80,Norway,2015-01-02T00:00:00,37
81,United Kingdom,2015-01-02T00:00:00,38
82,,2015-01-02T00:00:00,39
83,Poland,2015-01-02T00:00:00,40
84,,2015-01-02T00:00:00,41
85,Japan,2015-01-02T00:00:00,42
86,,2015-01-02T00:00:00,43
87,,2015-01-02T00:00:00,44
88,,2015-01-02T00:00:00,45
89,,2015-01-03T00:00:00,1
90,,2015-01-03T00:00:00,2
91,Australia,2015-01-03T00:00:00,3
92,Austria,2015-01-03T00:00:00,4
93,,2015-01-03T00:00:00,5
94,Cyprus,2015-01-03T00:00:00,6
95,,2015-01-03T00:00:00,7
96,,2015-01-03T00:00:00,8
97,,2015-01-03T00:00:00,9
98,,2015-01-03T00:00:00,10
99,,2015-01-03T00:00:00,11
100,,2015-01-03T00:00:00,12
101,Portugal,2015-01-03T00:00:00,13
102,,2015-01-03T00:00:00,14
103,,2015-01-03T00:00:00,15
104,Denmark,2015-01-03T00:00:00,16
105,Netherlands,2015-01-03T00:00:00,17
106,,2015-01-03T00:00:00,18
107,,2015-01-03T00:00:00,19
108,,2015-01-03T00:00:00,20
109,EIRE,2015-01-03T00:00:00,21
110,,2015-01-03T00:00:00,22
111,,2015-01-03T00:00:00,23
112,,2015-01-03T00:00:00,24
113,Spain,2015-01-03T00:00:00,25
114,Italy,2015-01-03T00:00:00,26
115,,2015-01-03T00:00:00,27
116,,2015-01-03T00:00:00,28
117,Finland,2015-01-03T00:00:00,29
118,France,2015-01-03T00:00:00,30
119,Switzerland,2015-01-03T00:00:00,31
120,,2015-01-03T00:00:00,32
121,United States,2015-01-03T00:00:00,33
122,Germany,2015-01-03T00:00:00,34
123,Sweden,2015-01-03T00:00:00,36
124,Norway,2015-01-03T00:00:00,37
125,United Kingdom,2015-01-03T00:00:00,38
126,,2015-01-03T00:00:00,39
127,Poland,2015-01-03T00:00:00,40
128,,2015-01-03T00:00:00,41
129,Japan,2015-01-03T00:00:00,42
130,,2015-01-03T00:00:00,43
131,,2015-01-03T00:00:00,44
132,,2015-01-03T00:00:00,45
133,,2015-01-04T00:00:00,1
134,,2015-01-04T00:00:00,2
135,Australia,2015-01-04T00:00:00,3
136,Austria,2015-01-04T00:00:00,4
137,,2015-01-04T00:00:00,5
138,Cyprus,2015-01-04T00:00:00,6
139,,2015-01-04T00:00:00,7
140,,2015-01-04T00:00:00,8
141,,2015-01-04T00:00:00,9
142,,2015-01-04T00:00:00,10
143,,2015-01-04T00:00:00,11
144,,2015-01-04T00:00:00,12
145,Portugal,2015-01-04T00:00:00,13
146,,2015-01-04T00:00:00,14
147,,2015-01-04T00:00:00,15
148,Denmark,2015-01-04T00:00:00,16
149,Netherlands,2015-01-04T00:00:00,17
150,,2015-01-04T00:00:00,18
151,,2015-01-04T00:00:00,19
152,,2015-01-04T00:00:00,20
153,EIRE,2015-01-04T00:00:00,21
154,,2015-01-04T00:00:00,22
155,,2015-01-04T00:00:00,23
156,,2015-01-04T00:00:00,24
157,Spain,2015-01-04T00:00:00,25
158,Italy,2015-01-04T00:00:00,26
159,,2015-01-04T00:00:00,27
160,,2015-01-04T00:00:00,28
161,Finland,2015-01-04T00:00:00,29
162,France,2015-01-04T00:00:00,30
163,Switzerland,2015-01-04T00:00:00,31
164,,2015-01-04T00:00:00,32
165,United States,2015-01-04T00:00:00,33
166,Germany,2015-01-04T00:00:00,34
167,Sweden,2015-01-04T00:00:00,36
168,Norway,2015-01-04T00:00:00,37
169,United Kingdom,2015-01-04T00:00:00,38
170,,2015-01-04T00:00:00,39
171,Poland,2015-01-04T00:00:00,40
172,,2015-01-04T00:00:00,41
173,Japan,2015-01-04T00:00:00,42
174,,2015-01-04T00:00:00,43
175,,2015-01-04T00:00:00,44
176,,2015-01-04T00:00:00,45
177,,2015-01-05T00:00:00,1
178,,2015-01-05T00:00:00,2
179,Australia,2015-01-05T00:00:00,3
180,Austria,2015-01-05T00:00:00,4
181,,2015-01-05T00:00:00,5
182,Cyprus,2015-01-05T00:00:00,6
183,,2015-01-05T00:00:00,7
184,,2015-01-05T00:00:00,8
185,,2015-01-05T00:00:00,9
186,,2015-01-05T00:00:00,10
187,,2015-01-05T00:00:00,11
188,,2015-01-05T00:00:00,12
189,Portugal,2015-01-05T00:00:00,13
190,,2015-01-05T00:00:00,14
191,,2015-01-05T00:00:00,15
192,Denmark,2015-01-05T00:00:00,16
193,Netherlands,2015-01-05T00:00:00,17
194,,2015-01-05T00:00:00,18
195,,2015-01-05T00:00:00,19
196,,2015-01-05T00:00:00,20
197,EIRE,2015-01-05T00:00:00,21
198,,2015-01-05T00:00:00,22
199,,2015-01-05T00:00:00,23
200,,2015-01-05T00:00:00,24
201,Spain,2015-01-05T00:00:00,25
202,Italy,2015-01-05T00:00:00,26
203,,2015-01-05T00:00:00,27
204,,2015-01-05T00:00:00,28
205,Finland,2015-01-05T00:00:00,29
206,France,2015-01-05T00:00:00,30
207,Switzerland,2015-01-05T00:00:00,31
208,,2015-01-05T00:00:00,32
209,United States,2015-01-05T00:00:00,33
210,Germany,2015-01-05T00:00:00,34
211,Sweden,2015-01-05T00:00:00,36
212,Norway,2015-01-05T00:00:00,37
213,United Kingdom,2015-01-05T00:00:00,38
214,,2015-01-05T00:00:00,39
215,Poland,2015-01-05T00:00:00,40
216,,2015-01-05T00:00:00,41
217,Japan,2015-01-05T00:00:00,42
218,,2015-01-05T00:00:00,43
219,,2015-01-05T00:00:00,44
220,,2015-01-05T00:00:00,45
221,,2015-01-06T00:00:00,1
222,,2015-01-06T00:00:00,2
223,Australia,2015-01-06T00:00:00,3
224,Austria,2015-01-06T00:00:00,4
225,,2015-01-06T00:00:00,5
226,Cyprus,2015-01-06T00:00:00,6
227,,2015-01-06T00:00:00,7
228,,2015-01-06T00:00:00,8
229,,2015-01-06T00:00:00,9
230,,2015-01-06T00:00:00,10
231,,2015-01-06T00:00:00,11
232,,2015-01-06T00:00:00,12
233,Portugal,2015-01-06T00:00:00,13
234,,2015-01-06T00:00:00,14
235,,2015-01-06T00:00:00,15
236,Denmark,2015-01-06T00:00:00,16
237,Netherlands,2015-01-06T00:00:00,17
238,,2015-01-06T00:00:00,18
239,,2015-01-06T00:00:00,19
240,,2015-01-06T00:00:00,20
241,EIRE,2015-01-06T00:00:00,21
242,,2015-01-06T00:00:00,22
243,,2015-01-06T00:00:00,23
244,,2015-01-06T00:00:00,24
245,Spain,2015-01-06T00:00:00,25
246,Italy,2015-01-06T00:00:00,26
247,,2015-01-06T00:00:00,27
248,,2015-01-06T00:00:00,28
249,Finland,2015-01-06T00:00:00,29
250,France,2015-01-06T00:00:00,30
251,Switzerland,2015-01-06T00:00:00,31
252,,2015-01-06T00:00:00,32
253,United States,2015-01-06T00:00:00,33
254,Germany,2015-01-06T00:00:00,34
255,Sweden,2015-01-06T00:00:00,36
256,Norway,2015-01-06T00:00:00,37
257,United Kingdom,2015-01-06T00:00:00,38
258,,2015-01-06T00:00:00,39
259,Poland,2015-01-06T00:00:00,40
260,,2015-01-06T00:00:00,41
261,Japan,2015-01-06T00:00:00,42
262,,2015-01-06T00:00:00,43
263,,2015-01-06T00:00:00,44
264,,2015-01-06T00:00:00,45
265,,2015-01-07T00:00:00,1
266,,2015-01-07T00:00:00,2
267,Australia,2015-01-07T00:00:00,3
268,Austria,2015-01-07T00:00:00,4
269,,2015-01-07T00:00:00,5
270,Cyprus,2015-01-07T00:00:00,6
271,,2015-01-07T00:00:00,7
272,,2015-01-07T00:00:00,8
273,,2015-01-07T00:00:00,9
274,,2015-01-07T00:00:00,10
275,,2015-01-07T00:00:00,11
276,,2015-01-07T00:00:00,12
277,Portugal,2015-01-07T00:00:00,13
278,,2015-01-07T00:00:00,14
279,,2015-01-07T00:00:00,15
280,Denmark,2015-01-07T00:00:00,16
281,Netherlands,2015-01-07T00:00:00,17
282,,2015-01-07T00:00:00,18
283,,2015-01-07T00:00:00,19
284,,2015-01-07T00:00:00,20
285,EIRE,2015-01-07T00:00:00,21
286,,2015-01-07T00:00:00,22
287,,2015-01-07T00:00:00,23
288,,2015-01-07T00:00:00,24
289,Spain,2015-01-07T00:00:00,25
290,Italy,2015-01-07T00:00:00,26
291,,2015-01-07T00:00:00,27
292,,2015-01-07T00:00:00,28
293,Finland,2015-01-07T00:00:00,29
294,France,2015-01-07T00:00:00,30
295,Switzerland,2015-01-07T00:00:00,31
296,,2015-01-07T00:00:00,32
297,United States,2015-01-07T00:00:00,33
298,Germany,2015-01-07T00:00:00,34
299,Sweden,2015-01-07T00:00:00,36
300,Norway,2015-01-07T00:00:00,37
301,United Kingdom,2015-01-07T00:00:00,38
302,,2015-01-07T00:00:00,39
303,Poland,2015-01-07T00:00:00,40
304,,2015-01-07T00:00:00,41
305,Japan,2015-01-07T00:00:00,42
306,,2015-01-07T00:00:00,43
307,,2015-01-07T00:00:00,44
308,,2015-01-07T00:00:00,45
309,,2015-01-08T00:00:00,1
310,,2015-01-08T00:00:00,2
311,Australia,2015-01-08T00:00:00,3
312,Austria,2015-01-08T00:00:00,4
313,,2015-01-08T00:00:00,5
314,Cyprus,2015-01-08T00:00:00,6
315,,2015-01-08T00:00:00,7
316,,2015-01-08T00:00:00,8
317,,2015-01-08T00:00:00,9
318,,2015-01-08T00:00:00,10
319,,2015-01-08T00:00:00,11
320,,2015-01-08T00:00:00,12
321,Portugal,2015-01-08T00:00:00,13
322,,2015-01-08T00:00:00,14
323,,2015-01-08T00:00:00,15
324,Denmark,2015-01-08T00:00:00,16
325,Netherlands,2015-01-08T00:00:00,17
326,,2015-01-08T00:00:00,18
327,,2015-01-08T00:00:00,19
328,,2015-01-08T00:00:00,20
329,EIRE,2015-01-08T00:00:00,21
330,,2015-01-08T00:00:00,22
331,,2015-01-08T00:00:00,23
332,,2015-01-08T00:00:00,24
333,Spain,2015-01-08T00:00:00,25
334,Italy,2015-01-08T00:00:00,26
335,,2015-01-08T00:00:00,27
336,,2015-01-08T00:00:00,28
337,Finland,2015-01-08T00:00:00,29
338,France,2015-01-08T00:00:00,30
339,Switzerland,2015-01-08T00:00:00,31
340,,2015-01-08T00:00:00,32
341,United States,2015-01-08T00:00:00,33
342,Germany,2015-01-08T00:00:00,34
343,Sweden,2015-01-08T00:00:00,36
344,Norway,2015-01-08T00:00:00,37
345,United Kingdom,2015-01-08T00:00:00,38
346,,2015-01-08T00:00:00,39
347,Poland,2015-01-08T00:00:00,40
348,,2015-01-08T00:00:00,41
349,Japan,2015-01-08T00:00:00,42
350,,2015-01-08T00:00:00,43
351,,2015-01-08T00:00:00,44
352,,2015-01-08T00:00:00,45
353,,2015-01-09T00:00:00,1
354,,2015-01-09T00:00:00,2
355,Australia,2015-01-09T00:00:00,3
356,Austria,2015-01-09T00:00:00,4
357,,2015-01-09T00:00:00,5
358,Cyprus,2015-01-09T00:00:00,6
359,,2015-01-09T00:00:00,7
360,,2015-01-09T00:00:00,8
361,,2015-01-09T00:00:00,9
362,,2015-01-09T00:00:00,10
363,,2015-01-09T00:00:00,11
364,,2015-01-09T00:00:00,12
365,Portugal,2015-01-09T00:00:00,13
366,,2015-01-09T00:00:00,14
367,,2015-01-09T00:00:00,15
368,Denmark,2015-01-09T00:00:00,16
369,Netherlands,2015-01-09T00:00:00,17
370,,2015-01-09T00:00:00,18
371,,2015-01-09T00:00:00,19
372,,2015-01-09T00:00:00,20
373,EIRE,2015-01-09T00:00:00,21
374,,2015-01-09T00:00:00,22
375,,2015-01-09T00:00:00,23
376,,2015-01-09T00:00:00,24
377,Spain,2015-01-09T00:00:00,25
378,Italy,2015-01-09T00:00:00,26
379,,2015-01-09T00:00:00,27
380,,2015-01-09T00:00:00,28
381,Finland,2015-01-09T00:00:00,29
382,France,2015-01-09T00:00:00,30
383,Switzerland,2015-01-09T00:00:00,31
384,,2015-01-09T00:00:00,32
385,United States,2015-01-09T00:00:00,33
386,Germany,2015-01-09T00:00:00,34
387,Sweden,2015-01-09T00:00:00,36
388,Norway,2015-01-09T00:00:00,37
389,United Kingdom,2015-01-09T00:00:00,38
390,,2015-01-09T00:00:00,39
391,Poland,2015-01-09T00:00:00,40
392,,2015-01-09T00:00:00,41
393,Japan,2015-01-09T00:00:00,42
394,,2015-01-09T00:00:00,43
395,,2015-01-09T00:00:00,44
396,,2015-01-09T00:00:00,45
397,,2015-01-10T00:00:00,1
398,,2015-01-10T00:00:00,2
399,Australia,2015-01-10T00:00:00,3
400,Austria,2015-01-10T00:00:00,4
401,,2015-01-10T00:00:00,5
402,Cyprus,2015-01-10T00:00:00,6
403,,2015-01-10T00:00:00,7
404,,2015-01-10T00:00:00,8
405,,2015-01-10T00:00:00,9
406,,2015-01-10T00:00:00,10
407,,2015-01-10T00:00:00,11
408,,2015-01-10T00:00:00,12
409,Portugal,2015-01-10T00:00:00,13
410,,2015-01-10T00:00:00,14
411,,2015-01-10T00:00:00,15
412,Denmark,2015-01-10T00:00:00,16
413,Netherlands,2015-01-10T00:00:00,17
414,,2015-01-10T00:00:00,18
415,,2015-01-10T00:00:00,19
416,,2015-01-10T00:00:00,20
417,EIRE,2015-01-10T00:00:00,21
418,,2015-01-10T00:00:00,22
419,,2015-01-10T00:00:00,23
420,,2015-01-10T00:00:00,24
421,Spain,2015-01-10T00:00:00,25
422,Italy,2015-01-10T00:00:00,26
423,,2015-01-10T00:00:00,27
424,,2015-01-10T00:00:00,28
425,Finland,2015-01-10T00:00:00,29
426,France,2015-01-10T00:00:00,30
427,Switzerland,2015-01-10T00:00:00,31
428,,2015-01-10T00:00:00,32
429,United States,2015-01-10T00:00:00,33
430,Germany,2015-01-10T00:00:00,34
431,Sweden,2015-01-10T00:00:00,36
432,Norway,2015-01-10T00:00:00,37
433,United Kingdom,2015-01-10T00:00:00,38
434,,2015-01-10T00:00:00,39
435,Poland,2015-01-10T00:00:00,40
436,,2015-01-10T00:00:00,41
437,Japan,2015-01-10T00:00:00,42
438,,2015-01-10T00:00:00,43
439,,2015-01-10T00:00:00,44
440,,2015-01-11T00:00:00,1
441,,2015-01-11T00:00:00,2
442,Australia,2015-01-11T00:00:00,3
443,Austria,2015-01-11T00:00:00,4
444,,2015-01-11T00:00:00,5
445,Cyprus,2015-01-11T00:00:00,6
446,,2015-01-11T00:00:00,7
447,,2015-01-11T00:00:00,8
448,,2015-01-11T00:00:00,9
449,,2015-01-11T00:00:00,10
450,,2015-01-11T00:00:00,11
451,,2015-01-11T00:00:00,12
452,Portugal,2015-01-11T00:00:00,13
453,,2015-01-11T00:00:00,14
454,,2015-01-11T00:00:00,15
455,Denmark,2015-01-11T00:00:00,16
456,Netherlands,2015-01-11T00:00:00,17
457,,2015-01-11T00:00:00,18
458,,2015-01-11T00:00:00,19
459,,2015-01-11T00:00:00,20
460,EIRE,2015-01-11T00:00:00,21
461,,2015-01-11T00:00:00,22
462,,2015-01-11T00:00:00,23
463,,2015-01-11T00:00:00,24
464,Spain,2015-01-11T00:00:00,25
465,Italy,2015-01-11T00:00:00,26
466,,2015-01-11T00:00:00,27
467,,2015-01-11T00:00:00,28
468,Finland,2015-01-11T00:00:00,29
469,France,2015-01-11T00:00:00,30
470,Switzerland,2015-01-11T00:00:00,31
471,,2015-01-11T00:00:00,32
472,United States,2015-01-11T00:00:00,33
473,Germany,2015-01-11T00:00:00,34
474,Sweden,2015-01-11T00:00:00,36
475,Norway,2015-01-11T00:00:00,37
476,United Kingdom,2015-01-11T00:00:00,38
477,,2015-01-11T00:00:00,39
478,Poland,2015-01-11T00:00:00,40
479,,2015-01-11T00:00:00,41
480,Japan,2015-01-11T00:00:00,42
481,,2015-01-11T00:00:00,43
482,,2015-01-11T00:00:00,44
483,,2015-01-11T00:00:00,45
484,,2015-01-12T00:00:00,1
485,,2015-01-12T00:00:00,2
486,Australia,2015-01-12T00:00:00,3
487,Austria,2015-01-12T00:00:00,4
488,,2015-01-12T00:00:00,5
489,Cyprus,2015-01-12T00:00:00,6
490,,2015-01-12T00:00:00,7
491,,2015-01-12T00:00:00,8
492,,2015-01-12T00:00:00,9
493,,2015-01-12T00:00:00,10
494,,2015-01-12T00:00:00,11
495,,2015-01-12T00:00:00,12
496,Portugal,2015-01-12T00:00:00,13
497,,2015-01-12T00:00:00,14
498,,2015-01-12T00:00:00,15
499,Denmark,2015-01-12T00:00:00,16
500,Netherlands,2015-01-12T00:00:00,17
501,,2015-01-12T00:00:00,18
502,,2015-01-12T00:00:00,19
503,,2015-01-12T00:00:00,20
504,EIRE,2015-01-12T00:00:00,21
505,,2015-01-12T00:00:00,22
506,,2015-01-12T00:00:00,23
507,,2015-01-12T00:00:00,24
508,Spain,2015-01-12T00:00:00,25
509,Italy,2015-01-12T00:00:00,26
510,,2015-01-12T00:00:00,27
511,,2015-01-12T00:00:00,28
512,Finland,2015-01-12T00:00:00,29
513,France,2015-01-12T00:00:00,30
514,Switzerland,2015-01-12T00:00:00,31
515,,2015-01-12T00:00:00,32
516,United States,2015-01-12T00:00:00,33
517,Germany,2015-01-12T00:00:00,34
518,Sweden,2015-01-12T00:00:00,36
519,Norway,2015-01-12T00:00:00,37
520,United Kingdom,2015-01-12T00:00:00,38
521,,2015-01-12T00:00:00,39
522,Poland,2015-01-12T00:00:00,40
523,,2015-01-12T00:00:00,41
524,Japan,2015-01-12T00:00:00,42
525,,2015-01-12T00:00:00,43
526,,2015-01-12T00:00:00,44
527,,2015-01-12T00:00:00,45
528,,2015-01-13T00:00:00,1
529,,2015-01-13T00:00:00,2
530,Australia,2015-01-13T00:00:00,3
531,Austria,2015-01-13T00:00:00,4
532,,2015-01-13T00:00:00,5
533,Cyprus,2015-01-13T00:00:00,6
534,,2015-01-13T00:00:00,7
535,,2015-01-13T00:00:00,8
536,,2015-01-13T00:00:00,9
537,,2015-01-13T00:00:00,10
538,,2015-01-13T00:00:00,11
539,,2015-01-13T00:00:00,12
540,Portugal,2015-01-13T00:00:00,13
541,,2015-01-13T00:00:00,14
542,,2015-01-13T00:00:00,15
543,Denmark,2015-01-13T00:00:00,16
544,Netherlands,2015-01-13T00:00:00,17
545,,2015-01-13T00:00:00,18
546,,2015-01-13T00:00:00,19
547,,2015-01-13T00:00:00,20
548,EIRE,2015-01-13T00:00:00,21
549,,2015-01-13T00:00:00,22
550,,2015-01-13T00:00:00,23
551,,2015-01-13T00:00:00,24
552,Spain,2015-01-13T00:00:00,25
553,Italy,2015-01-13T00:00:00,26
554,,2015-01-13T00:00:00,27
555,,2015-01-13T00:00:00,28
556,Finland,2015-01-13T00:00:00,29
557,France,2015-01-13T00:00:00,30
558,Switzerland,2015-01-13T00:00:00,31
559,,2015-01-13T00:00:00,32
560,United States,2015-01-13T00:00:00,33
561,Germany,2015-01-13T00:00:00,34
562,Sweden,2015-01-13T00:00:00,36
563,Norway,2015-01-13T00:00:00,37
564,United Kingdom,2015-01-13T00:00:00,38
565,,2015-01-13T00:00:00,39
566,Poland,2015-01-13T00:00:00,40
567,,2015-01-13T00:00:00,41
568,Japan,2015-01-13T00:00:00,42
569,,2015-01-13T00:00:00,43
570,,2015-01-13T00:00:00,44
571,,2015-01-13T00:00:00,45
572,,2015-01-14T00:00:00,1
573,,2015-01-14T00:00:00,2
574,Australia,2015-01-14T00:00:00,3
575,Austria,2015-01-14T00:00:00,4
576,,2015-01-14T00:00:00,5
577,Cyprus,2015-01-14T00:00:00,6
578,,2015-01-14T00:00:00,7
579,,2015-01-14T00:00:00,8
580,,2015-01-14T00:00:00,9
581,,2015-01-14T00:00:00,10
582,,2015-01-14T00:00:00,11
583,,2015-01-14T00:00:00,12
584,Portugal,2015-01-14T00:00:00,13
585,,2015-01-14T00:00:00,14
586,,2015-01-14T00:00:00,15
587,Denmark,2015-01-14T00:00:00,16
588,Netherlands,2015-01-14T00:00:00,17
589,,2015-01-14T00:00:00,18
590,,2015-01-14T00:00:00,19
591,,2015-01-14T00:00:00,20
592,EIRE,2015-01-14T00:00:00,21
593,,2015-01-14T00:00:00,22
594,,2015-01-14T00:00:00,23
595,,2015-01-14T00:00:00,24
596,Spain,2015-01-14T00:00:00,25
597,Italy,2015-01-14T00:00:00,26
598,,2015-01-14T00:00:00,27
599,,2015-01-14T00:00:00,28
600,Finland,2015-01-14T00:00:00,29
601,France,2015-01-14T00:00:00,30
602,Switzerland,2015-01-14T00:00:00,31
603,,2015-01-14T00:00:00,32
604,United States,2015-01-14T00:00:00,33
605,Germany,2015-01-14T00:00:00,34
606,Sweden,2015-01-14T00:00:00,36
607,Norway,2015-01-14T00:00:00,37
608,United Kingdom,2015-01-14T00:00:00,38
609,,2015-01-14T00:00:00,39
610,Poland,2015-01-14T00:00:00,40
611,,2015-01-14T00:00:00,41
612,Japan,2015-01-14T00:00:00,42
613,,2015-01-14T00:00:00,43
614,,2015-01-14T00:00:00,44
615,,2015-01-14T00:00:00,45
616,,2015-01-15T00:00:00,1
617,,2015-01-15T00:00:00,2
618,Australia,2015-01-15T00:00:00,3
619,Austria,2015-01-15T00:00:00,4
620,,2015-01-15T00:00:00,5
621,Cyprus,2015-01-15T00:00:00,6
622,,2015-01-15T00:00:00,7
623,,2015-01-15T00:00:00,8
624,,2015-01-15T00:00:00,9
625,,2015-01-15T00:00:00,10
626,,2015-01-15T00:00:00,11
627,,2015-01-15T00:00:00,12
628,Portugal,2015-01-15T00:00:00,13
629,,2015-01-15T00:00:00,14
630,,2015-01-15T00:00:00,15
631,Denmark,2015-01-15T00:00:00,16
632,Netherlands,2015-01-15T00:00:00,17
633,,2015-01-15T00:00:00,18
634,,2015-01-15T00:00:00,19
635,,2015-01-15T00:00:00,20
636,EIRE,2015-01-15T00:00:00,21
637,,2015-01-15T00:00:00,22
638,,2015-01-15T00:00:00,23
639,,2015-01-15T00:00:00,24
640,Spain,2015-01-15T00:00:00,25
641,Italy,2015-01-15T00:00:00,26
642,,2015-01-15T00:00:00,27
643,,2015-01-15T00:00:00,28
644,Finland,2015-01-15T00:00:00,29
645,France,2015-01-15T00:00:00,30
646,Switzerland,2015-01-15T00:00:00,31
647,,2015-01-15T00:00:00,32
648,United States,2015-01-15T00:00:00,33
649,Germany,2015-01-15T00:00:00,34
650,Sweden,2015-01-15T00:00:00,36
651,Norway,2015-01-15T00:00:00,37
652,United Kingdom,2015-01-15T00:00:00,38
653,,2015-01-15T00:00:00,39
654,Poland,2015-01-15T00:00:00,40
655,,2015-01-15T00:00:00,41
656,Japan,2015-01-15T00:00:00,42
657,,2015-01-15T00:00:00,43
658,,2015-01-15T00:00:00,44
659,,2015-01-15T00:00:00,45
660,,2015-01-16T00:00:00,1
661,,2015-01-16T00:00:00,2
662,Australia,2015-01-16T00:00:00,3
663,Austria,2015-01-16T00:00:00,4
664,,2015-01-16T00:00:00,5
665,Cyprus,2015-01-16T00:00:00,6
666,,2015-01-16T00:00:00,7
667,,2015-01-16T00:00:00,8
668,,2015-01-16T00:00:00,9
669,,2015-01-16T00:00:00,10
670,,2015-01-16T00:00:00,11
671,,2015-01-16T00:00:00,12
672,Portugal,2015-01-16T00:00:00,13
673,,2015-01-16T00:00:00,14
674,,2015-01-16T00:00:00,15
675,Denmark,2015-01-16T00:00:00,16
676,Netherlands,2015-01-16T00:00:00,17
677,,2015-01-16T00:00:00,18
678,,2015-01-16T00:00:00,19
679,,2015-01-16T00:00:00,20
680,EIRE,2015-01-16T00:00:00,21
681,,2015-01-16T00:00:00,22
682,,2015-01-16T00:00:00,23
683,,2015-01-16T00:00:00,24
684,Spain,2015-01-16T00:00:00,25
685,Italy,2015-01-16T00:00:00,26
686,,2015-01-16T00:00:00,27
687,,2015-01-16T00:00:00,28
688,Finland,2015-01-16T00:00:00,29
689,France,2015-01-16T00:00:00,30
690,Switzerland,2015-01-16T00:00:00,31
691,,2015-01-16T00:00:00,32
692,United States,2015-01-16T00:00:00,33
693,Germany,2015-01-16T00:00:00,34
694,Sweden,2015-01-16T00:00:00,36
695,Norway,2015-01-16T00:00:00,37
696,United Kingdom,2015-01-16T00:00:00,38
697,,2015-01-16T00:00:00,39
698,Poland,2015-01-16T00:00:00,40
699,,2015-01-16T00:00:00,41
700,Japan,2015-01-16T00:00:00,42
701,,2015-01-16T00:00:00,43
702,,2015-01-16T00:00:00,44
703,,2015-01-16T00:00:00,45
704,,2015-01-17T00:00:00,1
705,,2015-01-17T00:00:00,2
706,Australia,2015-01-17T00:00:00,3
707,Austria,2015-01-17T00:00:00,4
708,,2015-01-17T00:00:00,5
709,Cyprus,2015-01-17T00:00:00,6
710,,2015-01-17T00:00:00,7
711,,2015-01-17T00:00:00,8
712,,2015-01-17T00:00:00,9
713,,2015-01-17T00:00:00,10
714,,2015-01-17T00:00:00,11
715,,2015-01-17T00:00:00,12
